#x	y	z	B_x	B_y	B_z
-1	-0.3	1	-4.73e-10	2.95e-08	-9.39e-08
-1	-0.2	-1	5.35e-08	9.9e-09	4.95e-08
-1	-0.2	-0.9	6.79e-08	1.31e-08	5.74e-08
-1	-0.2	-0.8	8.65e-08	1.73e-08	6.47e-08
-1	-0.2	-0.7	1.09e-07	2.25e-08	6.97e-08
-1	-0.2	-0.6	1.36e-07	2.87e-08	7.05e-08
-1	-0.2	-0.5	1.66e-07	3.57e-08	6.51e-08
-1	-0.2	-0.4	1.94e-07	4.31e-08	5.22e-08
-1	-0.2	-0.3	2.19e-07	5.03e-08	3.18e-08
-1	-0.2	-0.2	2.37e-07	5.68e-08	5.12e-09
-1	-0.2	-0.1	2.46e-07	6.22e-08	-2.56e-08
-1	-0.2	0	2.45e-07	6.61e-08	-5.76e-08
-1	-0.2	0.1	2.34e-07	6.83e-08	-8.83e-08
-1	-0.2	0.2	2.14e-07	6.85e-08	-1.15e-07
-1	-0.2	0.3	1.86e-07	6.67e-08	-1.36e-07
-1	-0.2	0.4	1.53e-07	6.27e-08	-1.5e-07
-1	-0.2	0.5	1.18e-07	5.69e-08	-1.55e-07
-1	-0.2	0.6	8.5e-08	4.99e-08	-1.52e-07
-1	-0.2	0.7	5.58e-08	4.24e-08	-1.43e-07
-1	-0.2	0.8	3.19e-08	3.52e-08	-1.3e-07
-1	-0.2	0.9	1.37e-08	2.87e-08	-1.16e-07
-1	-0.2	1	3.93e-10	2.32e-08	-1.01e-07
-1	-0.1	-1	5.82e-08	2.53e-09	4.87e-08
-1	-0.1	-0.9	7.39e-08	3.68e-09	5.64e-08
-1	-0.1	-0.8	9.41e-08	5.3e-09	6.32e-08
-1	-0.1	-0.7	1.19e-07	7.51e-09	6.74e-08
-1	-0.1	-0.6	1.48e-07	1.04e-08	6.7e-08
-1	-0.1	-0.5	1.79e-07	1.39e-08	5.98e-08
-1	-0.1	-0.4	2.1e-07	1.79e-08	4.47e-08
-1	-0.1	-0.3	2.35e-07	2.2e-08	2.19e-08
-1	-0.1	-0.2	2.54e-07	2.61e-08	-6.96e-09
-1	-0.1	-0.1	2.62e-07	2.98e-08	-3.93e-08
-1	-0.1	0	2.6e-07	3.3e-08	-7.25e-08
-1	-0.1	0.1	2.48e-07	3.55e-08	-1.04e-07
-1	-0.1	0.2	2.26e-07	3.71e-08	-1.31e-07
-1	-0.1	0.3	1.97e-07	3.76e-08	-1.51e-07
-1	-0.1	0.4	1.62e-07	3.67e-08	-1.64e-07
-1	-0.1	0.5	1.25e-07	3.44e-08	-1.68e-07
-1	-0.1	0.6	8.99e-08	3.1e-08	-1.64e-07
-1	-0.1	0.7	5.88e-08	2.7e-08	-1.53e-07
-1	-0.1	0.8	3.35e-08	2.28e-08	-1.39e-07
-1	-0.1	0.9	1.42e-08	1.89e-08	-1.23e-07
-1	-0.1	1	2.81e-10	1.54e-08	-1.07e-07
-1	0	-1	6.16e-08	-5.16e-09	4.61e-08
-1	0	-0.9	7.8e-08	-6.21e-09	5.3e-08
-1	0	-0.8	9.9e-08	-7.32e-09	5.87e-08
-1	0	-0.7	1.25e-07	-8.36e-09	6.16e-08
-1	0	-0.6	1.55e-07	-9.15e-09	5.95e-08
-1	0	-0.5	1.86e-07	-9.5e-09	5.03e-08
-1	0	-0.4	2.17e-07	-9.31e-09	3.31e-08
-1	0	-0.3	2.43e-07	-8.54e-09	8.33e-09
-1	0	-0.2	2.6e-07	-7.22e-09	-2.2e-08
-1	0	-0.1	2.67e-07	-5.4e-09	-5.52e-08
-1	0	0	2.64e-07	-3.09e-09	-8.84e-08
-1	0	0.1	2.51e-07	-3.89e-10	-1.19e-07
-1	0	0.2	2.28e-07	2.51e-09	-1.45e-07
-1	0	0.3	1.98e-07	5.29e-09	-1.64e-07
-1	0	0.4	1.62e-07	7.58e-09	-1.75e-07
-1	0	0.5	1.25e-07	9.09e-09	-1.78e-07
-1	0	0.6	8.94e-08	9.72e-09	-1.72e-07
-1	0	0.7	5.8e-08	9.58e-09	-1.6e-07
-1	0	0.8	3.24e-08	8.89e-09	-1.44e-07
-1	0	0.9	1.3e-08	7.91e-09	-1.27e-07
-1	0	1	-9.62e-10	6.84e-09	-1.1e-07
-1	0.1	-1	6.35e-08	-1.26e-08	4.18e-08
-1	0.1	-0.9	8e-08	-1.58e-08	4.74e-08
-1	0.1	-0.8	1.01e-07	-1.95e-08	5.16e-08
-1	0.1	-0.7	1.26e-07	-2.37e-08	5.27e-08
-1	0.1	-0.6	1.56e-07	-2.81e-08	4.86e-08
-1	0.1	-0.5	1.87e-07	-3.23e-08	3.74e-08
-1	0.1	-0.4	2.16e-07	-3.59e-08	1.83e-08
-1	0.1	-0.3	2.4e-07	-3.86e-08	-7.84e-09
-1	0.1	-0.2	2.56e-07	-4.02e-08	-3.89e-08
-1	0.1	-0.1	2.61e-07	-4.05e-08	-7.2e-08
-1	0.1	0	2.57e-07	-3.93e-08	-1.04e-07
-1	0.1	0.1	2.42e-07	-3.65e-08	-1.33e-07
-1	0.1	0.2	2.19e-07	-3.25e-08	-1.57e-07
-1	0.1	0.3	1.89e-07	-2.75e-08	-1.74e-07
-1	0.1	0.4	1.54e-07	-2.2e-08	-1.83e-07
-1	0.1	0.5	1.18e-07	-1.67e-08	-1.83e-07
-1	0.1	0.6	8.34e-08	-1.21e-08	-1.76e-07
-1	0.1	0.7	5.32e-08	-8.29e-09	-1.63e-07
-1	0.1	0.8	2.86e-08	-5.43e-09	-1.46e-07
-1	0.1	0.9	1e-08	-3.39e-09	-1.29e-07
-1	0.1	1	-3.33e-09	-1.99e-09	-1.11e-07
-1	0.2	-1	6.39e-08	-1.92e-08	3.61e-08
-1	0.2	-0.9	7.98e-08	-2.42e-08	4.02e-08
-1	0.2	-0.8	9.97e-08	-3.03e-08	4.25e-08
-1	0.2	-0.7	1.24e-07	-3.72e-08	4.15e-08
-1	0.2	-0.6	1.51e-07	-4.48e-08	3.54e-08
-1	0.2	-0.5	1.8e-07	-5.24e-08	2.24e-08
-1	0.2	-0.4	2.07e-07	-5.96e-08	1.92e-09
-1	0.2	-0.3	2.28e-07	-6.57e-08	-2.5e-08
-1	0.2	-0.2	2.41e-07	-7.01e-08	-5.6e-08
-1	0.2	-0.1	2.45e-07	-7.26e-08	-8.8e-08
-1	0.2	0	2.38e-07	-7.26e-08	-1.18e-07
-1	0.2	0.1	2.23e-07	-6.99e-08	-1.44e-07
-1	0.2	0.2	2e-07	-6.49e-08	-1.65e-07
-1	0.2	0.3	1.71e-07	-5.78e-08	-1.79e-07
-1	0.2	0.4	1.38e-07	-4.95e-08	-1.85e-07
-1	0.2	0.5	1.05e-07	-4.07e-08	-1.84e-07
-1	0.2	0.6	7.26e-08	-3.24e-08	-1.75e-07
-1	0.2	0.7	4.48e-08	-2.5e-08	-1.62e-07
-1	0.2	0.8	2.24e-08	-1.89e-08	-1.45e-07
-1	0.2	0.9	5.44e-09	-1.41e-08	-1.27e-07
-1	0.2	1	-6.65e-09	-1.04e-08	-1.1e-07
-1	0.3	-1	6.27e-08	-2.47e-08	2.96e-08
-1	0.3	-0.9	7.74e-08	-3.11e-08	3.19e-08
-1	0.3	-0.8	9.57e-08	-3.88e-08	3.23e-08
-1	0.3	-0.7	1.17e-07	-4.78e-08	2.93e-08
-1	0.3	-0.6	1.42e-07	-5.78e-08	2.13e-08
-1	0.3	-0.5	1.67e-07	-6.82e-08	6.9e-09
-1	0.3	-0.4	1.9e-07	-7.83e-08	-1.43e-08
