#x	y	z	B_x	B_y	B_z
-1	0	-0.6	7.09e-08	-6.59e-09	2.15e-08
-1	0	-0.5	8.19e-08	-6.33e-09	1.69e-08
-1	0	-0.4	9.21e-08	-5.69e-09	9.77e-09
-1	0	-0.3	1e-07	-4.68e-09	3.1e-10
-1	0	-0.2	1.06e-07	-3.33e-09	-1.1e-08
-1	0	-0.1	1.08e-07	-1.73e-09	-2.33e-08
-1	0	0	1.06e-07	-8.27e-24	-3.58e-08
-1	0	0.1	1.01e-07	1.73e-09	-4.75e-08
-1	0	0.2	9.28e-08	3.33e-09	-5.75e-08
-1	0	0.3	8.17e-08	4.68e-09	-6.52e-08
-1	0	0.4	6.88e-08	5.69e-09	-7.01e-08
-1	0	0.5	5.53e-08	6.33e-09	-7.21e-08
-1	0	0.6	4.19e-08	6.59e-09	-7.13e-08
-1	0	0.7	2.97e-08	6.52e-09	-6.83e-08
-1	0	0.8	1.9e-08	6.2e-09	-6.35e-08
-1	0	0.9	1.03e-08	5.71e-09	-5.78e-08
-1	0	1	3.39e-09	5.13e-09	-5.16e-08
-1	0.1	-1	3.38e-08	-8.94e-09	1.9e-08
-1	0.1	-0.9	4.14e-08	-1.04e-08	2.05e-08
-1	0.1	-0.8	5.03e-08	-1.19e-08	2.09e-08
-1	0.1	-0.7	6.04e-08	-1.34e-08	2e-08
-1	0.1	-0.6	7.11e-08	-1.47e-08	1.71e-08
-1	0.1	-0.5	8.18e-08	-1.57e-08	1.18e-08
-1	0.1	-0.4	9.16e-08	-1.63e-08	4.18e-09
-1	0.1	-0.3	9.94e-08	-1.63e-08	-5.66e-09
-1	0.1	-0.2	1.04e-07	-1.58e-08	-1.71e-08
-1	0.1	-0.1	1.06e-07	-1.47e-08	-2.94e-08
-1	0.1	0	1.04e-07	-1.32e-08	-4.16e-08
-1	0.1	0.1	9.84e-08	-1.13e-08	-5.28e-08
-1	0.1	0.2	8.98e-08	-9.2e-09	-6.22e-08
-1	0.1	0.3	7.87e-08	-7.08e-09	-6.92e-08
-1	0.1	0.4	6.6e-08	-5.05e-09	-7.34e-08
-1	0.1	0.5	5.27e-08	-3.24e-09	-7.48e-08
-1	0.1	0.6	3.97e-08	-1.73e-09	-7.35e-08
-1	0.1	0.7	2.77e-08	-5.48e-10	-6.99e-08
-1	0.1	0.8	1.74e-08	3.09e-10	-6.48e-08
-1	0.1	0.9	8.91e-09	8.81e-10	-5.88e-08
-1	0.1	1	2.3e-09	1.22e-09	-5.23e-08
-1	0.2	-1	3.38e-08	-1.24e-08	1.63e-08
-1	0.2	-0.9	4.11e-08	-1.47e-08	1.71e-08
-1	0.2	-0.8	4.96e-08	-1.71e-08	1.7e-08
-1	0.2	-0.7	5.91e-08	-1.97e-08	1.53e-08
-1	0.2	-0.6	6.92e-08	-2.21e-08	1.18e-08
-1	0.2	-0.5	7.92e-08	-2.43e-08	6e-09
-1	0.2	-0.4	8.81e-08	-2.59e-08	-2.03e-09
-1	0.2	-0.3	9.5e-08	-2.69e-08	-1.2e-08
-1	0.2	-0.2	9.93e-08	-2.72e-08	-2.34e-08
-1	0.2	-0.1	1e-07	-2.66e-08	-3.53e-08
-1	0.2	0	9.77e-08	-2.53e-08	-4.69e-08
-1	0.2	0.1	9.2e-08	-2.33e-08	-5.73e-08
-1	0.2	0.2	8.34e-08	-2.09e-08	-6.58e-08
-1	0.2	0.3	7.26e-08	-1.81e-08	-7.19e-08
-1	0.2	0.4	6.05e-08	-1.51e-08	-7.53e-08
-1	0.2	0.5	4.78e-08	-1.22e-08	-7.59e-08
-1	0.2	0.6	3.56e-08	-9.59e-09	-7.4e-08
-1	0.2	0.7	2.44e-08	-7.26e-09	-7.01e-08
-1	0.2	0.8	1.47e-08	-5.31e-09	-6.48e-08
-1	0.2	0.9	6.84e-09	-3.75e-09	-5.86e-08
-1	0.2	1	7.06e-10	-2.55e-09	-5.22e-08
-1	0.3	-1	3.3e-08	-1.53e-08	1.32e-08
-1	0.3	-0.9	3.98e-08	-1.82e-08	1.34e-08
-1	0.3	-0.8	4.76e-08	-2.14e-08	1.25e-08
-1	0.3	-0.7	5.63e-08	-2.48e-08	1.02e-08
-1	0.3	-0.6	6.54e-08	-2.82e-08	6.11e-09
-1	0.3	-0.5	7.43e-08	-3.13e-08	-7.31e-11
-1	0.3	-0.4	8.2e-08	-3.39e-08	-8.29e-09
-1	0.3	-0.3	8.78e-08	-3.58e-08	-1.82e-08
-1	0.3	-0.2	9.11e-08	-3.67e-08	-2.92e-08
-1	0.3	-0.1	9.13e-08	-3.66e-08	-4.05e-08
-1	0.3	0	8.84e-08	-3.56e-08	-5.11e-08
-1	0.3	0.1	8.26e-08	-3.36e-08	-6.05e-08
-1	0.3	0.2	7.42e-08	-3.08e-08	-6.79e-08
-1	0.3	0.3	6.41e-08	-2.74e-08	-7.3e-08
-1	0.3	0.4	5.28e-08	-2.38e-08	-7.55e-08
-1	0.3	0.5	4.12e-08	-2e-08	-7.54e-08
-1	0.3	0.6	3.01e-08	-1.64e-08	-7.31e-08
-1	0.3	0.7	2e-08	-1.31e-08	-6.89e-08
-1	0.3	0.8	1.13e-08	-1.03e-08	-6.35e-08
-1	0.3	0.9	4.23e-09	-7.9e-09	-5.74e-08
-1	0.3	1	-1.25e-09	-5.96e-09	-5.11e-08
-1	0.4	-1	3.15e-08	-1.75e-08	9.87e-09
-1	0.4	-0.9	3.76e-08	-2.09e-08	9.44e-09
-1	0.4	-0.8	4.46e-08	-2.46e-08	7.98e-09
-1	0.4	-0.7	5.22e-08	-2.86e-08	5.12e-09
-1	0.4	-0.6	6.01e-08	-3.26e-08	5.57e-10
-1	0.4	-0.5	6.75e-08	-3.64e-08	-5.86e-09
-1	0.4	-0.4	7.39e-08	-3.97e-08	-1.41e-08
-1	0.4	-0.3	7.85e-08	-4.22e-08	-2.36e-08
-1	0.4	-0.2	8.06e-08	-4.37e-08	-3.4e-08
-1	0.4	-0.1	8.01e-08	-4.41e-08	-4.44e-08
-1	0.4	0	7.68e-08	-4.33e-08	-5.4e-08
-1	0.4	0.1	7.1e-08	-4.13e-08	-6.21e-08
-1	0.4	0.2	6.32e-08	-3.83e-08	-6.84e-08
-1	0.4	0.3	5.39e-08	-3.47e-08	-7.24e-08
-1	0.4	0.4	4.37e-08	-3.05e-08	-7.4e-08
-1	0.4	0.5	3.35e-08	-2.61e-08	-7.33e-08
-1	0.4	0.6	2.37e-08	-2.19e-08	-7.07e-08
-1	0.4	0.7	1.49e-08	-1.79e-08	-6.64e-08
-1	0.4	0.8	7.38e-09	-1.44e-08	-6.11e-08
-1	0.4	0.9	1.3e-09	-1.13e-08	-5.52e-08
-1	0.4	1	-3.4e-09	-8.84e-09	-4.92e-08
-1	0.5	-1	2.96e-08	-1.9e-08	6.64e-09
-1	0.5	-0.9	3.49e-08	-2.26e-08	5.66e-09
-1	0.5	-0.8	4.08e-08	-2.66e-08	3.67e-09
-1	0.5	-0.7	4.72e-08	-3.09e-08	3.82e-10
-1	0.5	-0.6	5.37e-08	-3.53e-08	-4.44e-09
-1	0.5	-0.5	5.97e-08	-3.95e-08	-1.09e-08
-1	0.5	-0.4	6.46e-08	-4.32e-08	-1.88e-08
-1	0.5	-0.3	6.78e-08	-4.62e-08	-2.78e-08
-1	0.5	-0.2	6.89e-08	-4.8e-08	-3.74e-08
-1	0.5	-0.1	6.76e-08	-4.87e-08	-4.67e-08
-1	0.5	0	6.41e-08	-4.81e-08	-5.51e-08
-1	0.5	0.1	5.85e-08	-4.62e-08	-6.2e-08
-1	0.5	0.2	5.13e-08	-4.32e-08	-6.71e-08
-1	0.5	0.3	4.3e-08	-3.94e-08	-7.01e-08
-1	0.5	0.4	3.41e-08	-3.5e-08	-7.09e-08
-1	0.5	0.5	2.53e-08	-3.03e-08	-6.98e-08
-1	0.5	0.6	1.7e-08	-2.57e-08	-6.7e-08
-1	0.5	0.7	9.63e-09	-2.13e-08	-6.28e-08
-1	0.5	0.8	3.36e-09	-1.74e-08	-5.77e-08
-1	0.5	0.9	-1.69e-09	-1.39e-08	-5.22e-08
-1	0.5	1	-5.56e-09	-1.11e-08	-4.66e-08
-1	0.6	-1	2.72e-08	-1.97e-08	3.65e-09
-1	0.6	-0.9	3.16e-08	-2.34e-08	2.23e-09
-1	0.6	-0.8	3.65e-08	-2.75e-08	-1.32e-10
-1	0.6	-0.7	4.17e-08	-3.19e-08	-3.67e-09
-1	0.6	-0.6	4.67e-08	-3.63e-08	-8.56e-09
-1	0.6	-0.5	5.13e-08	-4.06e-08	-1.48e-08
-1	0.6	-0.4	5.47e-08	-4.45e-08	-2.23e-08
-1	0.6	-0.3	5.67e-08	-4.75e-08	-3.05e-08
-1	0.6	-0.2	5.68e-08	-4.96e-08	-3.9e-08
-1	0.6	-0.1	5.5e-08	-5.05e-08	-4.72e-08
-1	0.6	0	5.13e-08	-5e-08	-5.44e-08
-1	0.6	0.1	4.6e-08	-4.83e-08	-6.01e-08
-1	0.6	0.2	3.95e-08	-4.54e-08	-6.42e-08
-1	0.6	0.3	3.23e-08	-4.17e-08	-6.63e-08
-1	0.6	0.4	2.48e-08	-3.73e-08	-6.66e-08
-1	0.6	0.5	1.75e-08	-3.26e-08	-6.52e-08
-1	0.6	0.6	1.06e-08	-2.79e-08	-6.23e-08
-1	0.6	0.7	4.6e-09	-2.34e-08	-5.84e-08
-1	0.6	0.8	-4.6e-10	-1.93e-08	-5.37e-08
-1	0.6	0.9	-4.51e-09	-1.57e-08	-4.87e-08
-1	0.6	1	-7.59e-09	-1.26e-08	-4.35e-08
-1	0.7	-1	2.46e-08	-1.98e-08	1.04e-09
-1	0.7	-0.9	2.82e-08	-2.34e-08	-6.77e-10
-1	0.7	-0.8	3.21e-08	-2.74e-08	-3.26e-09
-1	0.7	-0.7	3.6e-08	-3.16e-08	-6.87e-09
-1	0.7	-0.6	3.98e-08	-3.59e-08	-1.16e-08
-1	0.7	-0.5	4.29e-08	-4e-08	-1.75e-08
-1	0.7	-0.4	4.51e-08	-4.37e-08	-2.43e-08
-1	0.7	-0.3	4.6e-08	-4.68e-08	-3.16e-08
-1	0.7	-0.2	4.53e-08	-4.89e-08	-3.91e-08
-1	0.7	-0.1	4.3e-08	-4.98e-08	-4.61e-08
-1	0.7	0	3.93e-08	-4.95e-08	-5.21e-08
-1	0.7	0.1	3.45e-08	-4.8e-08	-5.68e-08
-1	0.7	0.2	2.88e-08	-4.53e-08	-5.99e-08
-1	0.7	0.3	2.26e-08	-4.18e-08	-6.14e-08
-1	0.7	0.4	1.64e-08	-3.76e-08	-6.13e-08
-1	0.7	0.5	1.04e-08	-3.31e-08	-5.98e-08
-1	0.7	0.6	4.91e-09	-2.86e-08	-5.71e-08
-1	0.7	0.7	1.32e-10	-2.42e-08	-5.34e-08
-1	0.7	0.8	-3.84e-09	-2.02e-08	-4.92e-08
-1	0.7	0.9	-6.98e-09	-1.66e-08	-4.47e-08
-1	0.7	1	-9.34e-09	-1.36e-08	-4.02e-08
-1	0.8	-1	2.19e-08	-1.94e-08	-1.11e-09
-1	0.8	-0.9	2.47e-08	-2.27e-08	-2.99e-09
-1	0.8	-0.8	2.76e-08	-2.64e-08	-5.64e-09
-1	0.8	-0.7	3.05e-08	-3.03e-08	-9.16e-09
-1	0.8	-0.6	3.31e-08	-3.43e-08	-1.36e-08
-1	0.8	-0.5	3.51e-08	-3.81e-08	-1.89e-08
-1	0.8	-0.4	3.62e-08	-4.16e-08	-2.5e-08
-1	0.8	-0.3	3.62e-08	-4.44e-08	-3.14e-08
-1	0.8	-0.2	3.49e-08	-4.63e-08	-3.77e-08
-1	0.8	-0.1	3.24e-08	-4.73e-08	-4.36e-08
-1	0.8	0	2.88e-08	-4.71e-08	-4.85e-08
-1	0.8	0.1	2.44e-08	-4.57e-08	-5.23e-08
-1	0.8	0.2	1.95e-08	-4.34e-08	-5.47e-08
-1	0.8	0.3	1.43e-08	-4.02e-08	-5.58e-08
-1	0.8	0.4	9.23e-09	-3.64e-08	-5.54e-08
-1	0.8	0.5	4.43e-09	-3.23e-08	-5.39e-08
-1	0.8	0.6	1.2e-10	-2.81e-08	-5.15e-08
-1	0.8	0.7	-3.59e-09	-2.4e-08	-4.83e-08
-1	0.8	0.8	-6.63e-09	-2.03e-08	-4.46e-08
-1	0.8	0.9	-9e-09	-1.69e-08	-4.06e-08
-1	0.8	1	-1.07e-08	-1.39e-08	-3.67e-08
-1	0.9	-1	1.92e-08	-1.85e-08	-2.78e-09
-1	0.9	-0.9	2.13e-08	-2.16e-08	-4.71e-09
-1	0.9	-0.8	2.34e-08	-2.49e-08	-7.29e-09
-1	0.9	-0.7	2.54e-08	-2.84e-08	-1.06e-08
-1	0.9	-0.6	2.7e-08	-3.19e-08	-1.46e-08
-1	0.9	-0.5	2.81e-08	-3.53e-08	-1.94e-08
